model,subject_id,threshold_used,neutral_label_removed,best_params,acc,f1,precision,recall
GAT,22,5.0,True,"{""dropout"": 0.5, ""heads"": 4, ""hidden_channels"": 32, ""inner_score"": 0.557063513358238, ""learning_rate"": 0.001, ""selected_epochs"": 4, ""weight_decay"": 0.0}",0.47368421052631576,0.4602272727272727,0.4807692307692308,0.4833333333333333
GAT,23,5.0,True,"{""dropout"": 0.2, ""heads"": 2, ""hidden_channels"": 32, ""inner_score"": 0.5779178290035777, ""learning_rate"": 0.001, ""selected_epochs"": 3, ""weight_decay"": 0.0005}",0.5263157894736842,0.5043478260869565,0.5192307692307692,0.5166666666666666
GAT,24,5.0,True,"{""dropout"": 0.2, ""heads"": 4, ""hidden_channels"": 64, ""inner_score"": 0.5848738209404264, ""learning_rate"": 0.001, ""selected_epochs"": 2, ""weight_decay"": 0.0}",0.4444444444444444,0.4375,0.44155844155844154,0.4444444444444444
GAT,25,5.0,True,"{""dropout"": 0.5, ""heads"": 2, ""hidden_channels"": 64, ""inner_score"": 0.5698133456073101, ""learning_rate"": 0.001, ""selected_epochs"": 3, ""weight_decay"": 0.0005}",0.42105263157894735,0.2962962962962963,0.2222222222222222,0.4444444444444444
GAT,26,5.0,True,"{""dropout"": 0.5, ""heads"": 4, ""hidden_channels"": 64, ""inner_score"": 0.5380247159423229, ""learning_rate"": 0.001, ""selected_epochs"": 3, ""weight_decay"": 0.0005}",0.75,0.6865203761755485,0.6785714285714286,0.7
GAT,27,5.0,True,"{""dropout"": 0.2, ""heads"": 4, ""hidden_channels"": 32, ""inner_score"": 0.5574136686327961, ""learning_rate"": 0.001, ""selected_epochs"": 2, ""weight_decay"": 0.0005}",0.6,0.4666666666666667,0.7894736842105263,0.5555555555555556
GAT,28,5.0,True,"{""dropout"": 0.2, ""heads"": 4, ""hidden_channels"": 32, ""inner_score"": 0.5658374158660264, ""learning_rate"": 0.001, ""selected_epochs"": 3, ""weight_decay"": 0.0}",0.5263157894736842,0.5210084033613445,0.5357142857142857,0.5333333333333333
GAT,29,5.0,True,"{""dropout"": 0.2, ""heads"": 2, ""hidden_channels"": 32, ""inner_score"": 0.5552414418124765, ""learning_rate"": 0.001, ""selected_epochs"": 2, ""weight_decay"": 0.0005}",0.5789473684210527,0.5777777777777777,0.5852272727272727,0.5833333333333333
GAT,30,5.0,True,"{""dropout"": 0.2, ""heads"": 2, ""hidden_channels"": 32, ""inner_score"": 0.5579756920669541, ""learning_rate"": 0.001, ""selected_epochs"": 3, ""weight_decay"": 0.0}",0.631578947368421,0.4904214559386973,0.5297619047619048,0.5735294117647058
GAT,31,5.0,True,"{""dropout"": 0.2, ""heads"": 2, ""hidden_channels"": 32, ""inner_score"": 0.5476449513312699, ""learning_rate"": 0.001, ""selected_epochs"": 3, ""weight_decay"": 0.0}",0.6111111111111112,0.5418181818181818,0.6333333333333333,0.575
GAT,32,5.0,True,"{""dropout"": 0.2, ""heads"": 4, ""hidden_channels"": 64, ""inner_score"": 0.551875454675344, ""learning_rate"": 0.001, ""selected_epochs"": 2, ""weight_decay"": 0.0005}",0.7368421052631579,0.7338935574229692,0.7386363636363636,0.7333333333333334
GAT,33,5.0,True,"{""dropout"": 0.5, ""heads"": 2, ""hidden_channels"": 32, ""inner_score"": 0.5503359179298584, ""learning_rate"": 0.001, ""selected_epochs"": 10, ""weight_decay"": 0.0}",0.6842105263157895,0.6607142857142857,0.7214285714285715,0.6722222222222223
GAT,34,5.0,True,"{""dropout"": 0.2, ""heads"": 4, ""hidden_channels"": 32, ""inner_score"": 0.5677714674066267, ""learning_rate"": 0.001, ""selected_epochs"": 2, ""weight_decay"": 0.0}",0.47368421052631576,0.4602272727272727,0.4807692307692308,0.4833333333333333
GAT,35,5.0,True,"{""dropout"": 0.2, ""heads"": 4, ""hidden_channels"": 32, ""inner_score"": 0.5613314393260123, ""learning_rate"": 0.001, ""selected_epochs"": 3, ""weight_decay"": 0.0005}",0.5,0.4857142857142857,0.487012987012987,0.4875
GAT,36,5.0,True,"{""dropout"": 0.2, ""heads"": 2, ""hidden_channels"": 64, ""inner_score"": 0.5553287507931014, ""learning_rate"": 0.001, ""selected_epochs"": 1, ""weight_decay"": 0.0}",0.55,0.4357366771159875,0.5277777777777778,0.51010101010101
GAT,37,5.0,True,"{""dropout"": 0.5, ""heads"": 2, ""hidden_channels"": 32, ""inner_score"": 0.5450451408481151, ""learning_rate"": 0.001, ""selected_epochs"": 9, ""weight_decay"": 0.0005}",0.6470588235294118,0.575,0.6547619047619048,0.5928571428571429
GAT,38,5.0,True,"{""dropout"": 0.5, ""heads"": 4, ""hidden_channels"": 64, ""inner_score"": 0.5358454904502309, ""learning_rate"": 0.001, ""selected_epochs"": 2, ""weight_decay"": 0.0005}",0.7,0.6875,0.7380952380952381,0.7
GAT,39,5.0,True,"{""dropout"": 0.5, ""heads"": 4, ""hidden_channels"": 32, ""inner_score"": 0.5707521605898398, ""learning_rate"": 0.001, ""selected_epochs"": 3, ""weight_decay"": 0.0}",0.3684210526315789,0.3666666666666667,0.40384615384615385,0.4107142857142857
GAT,40,5.0,True,"{""dropout"": 0.2, ""heads"": 2, ""hidden_channels"": 64, ""inner_score"": 0.56953442605659, ""learning_rate"": 0.001, ""selected_epochs"": 4, ""weight_decay"": 0.0}",0.3684210526315789,0.3214285714285714,0.47023809523809523,0.42647058823529416
